,index,Opportunities,Contains,Player_ID,Team,Player_Name,Position
0,38577_LA,115,62,38577,LA,Bobby Wagner,ILB
1,41239_LA,61,24,41239,LA,Aaron Donald,DT
2,42816_LA,25,9,42816,LA,Troy Hill,CB
3,43294_LA,46,26,43294,LA,Jalen Ramsey,CB
4,43335_LA,70,23,43335,LA,A'Shawn Robinson,DT
5,47844_LA,69,34,47844,LA,Taylor Rapp,FS
6,47862_LA,19,11,47862,LA,David Long,CB
7,47917_LA,72,14,47917,LA,Greg Gaines,NT
8,48026_LA,89,43,48026,LA,Nick Scott,SS
9,52492_LA,29,19,52492,LA,Terrell Lewis,OLB
10,54750_LA,1,0,54750,LA,Keir Thomas,OLB
11,40107_BUF,10,4,40107,BUF,Micah Hyde,FS
12,40166_BUF,36,20,40166,BUF,Jordan Poyer,SS
13,41341_BUF,59,15,41341,BUF,DaQuan Jones,DT
14,44976_BUF,92,40,44976,BUF,Matt Milano,OLB
15,46085_BUF,116,62,46085,BUF,Tremaine Edmunds,ILB
16,46190_BUF,80,40,46190,BUF,Taron Johnson,CB
17,47792_BUF,25,8,47792,BUF,Ed Oliver,DT
18,52462_BUF,17,5,52462,BUF,A.J. Epenesa,DE
19,52647_BUF,43,18,52647,BUF,Dane Jackson,CB
20,53490_BUF,24,10,53490,BUF,Carlos Basham,DE
21,54650_BUF,19,10,54650,BUF,Christian Benford,CB
22,43298_LA,72,35,43298,LA,Leonard Floyd,DE
23,47939_LA,42,17,47939,LA,Justin Hollins,OLB
24,48770_LA,35,17,48770,LA,Marquise Copeland,DT
25,52846_LA,8,3,52846,LA,Jonah Williams,DT
26,53532_LA,114,64,53532,LA,Ernest Jones,ILB
27,37075_BUF,34,9,37075,BUF,Von Miller,OLB
28,42395_BUF,26,13,42395,BUF,Jordan Phillips,DE
29,53459_BUF,33,16,53459,BUF,Gregory Rousseau,DE
30,54488_BUF,47,25,54488,BUF,Kaiir Elam,CB
31,52607_LA,22,11,52607,LA,Jordan Fuller,SS
32,46232_BUF,29,8,46232,BUF,Tim Settle,DT
33,37097_NO,66,25,37097,NO,Cameron Jordan,DE
34,38607_NO,108,50,38607,NO,Demario Davis,MLB
35,40017_NO,72,40,40017,NO,Tyrann Mathieu,FS
36,41257_NO,29,12,41257,NO,Bradley Roby,CB
37,42421_NO,18,9,42421,NO,P.J. Williams,CB
38,43409_NO,51,20,43409,NO,David Onyemata,DT
39,44823_NO,26,12,44823,NO,Marshon Lattimore,CB
40,44851_NO,62,37,44851,NO,Marcus Maye,FS
41,44862_NO,35,17,44862,NO,Justin Evans,SS
42,46083_NO,46,21,46083,NO,Marcus Davenport,DE
43,48027_NO,40,23,48027,NO,Kaden Elliss,OLB
44,48544_NO,67,25,48544,NO,Shy Tuttle,DT
45,53489_NO,136,61,53489,NO,Pete Werner,OLB
46,46378_NO,1,0,46378,NO,J.T. Gray,SS
47,48537_NO,35,16,48537,NO,Carl Granderson,DE
48,38592_ATL,28,9,38592,ATL,Casey Hayward,CB
49,46091_ATL,180,98,46091,ATL,Rashaan Evans,ILB
50,46135_ATL,71,33,46135,ATL,Lorenzo Carter,OLB
51,46841_ATL,8,4,46841,ATL,Matt Dickerson,DT
52,48520_ATL,24,7,48520,ATL,Anthony Rush,DT
53,52424_ATL,58,25,52424,ATL,A.J. Terrell,CB
54,52527_ATL,132,65,52527,ATL,Mykal Walker,ILB
55,52542_ATL,91,51,52542,ATL,Jaylinn Hawkins,FS
56,53469_ATL,112,53,53469,ATL,Richie Grant,SS
57,53611_ATL,50,22,53611,ATL,Adetokunbo Ogundeji,OLB
58,55173_ATL,32,14,55173,ATL,Timmy Horne,DT
59,42480_ATL,81,27,42480,ATL,Grady Jarrett,DT
60,53577_ATL,78,23,53577,ATL,Ta'Quon Graham,DE
61,54503_ATL,48,28,54503,ATL,Arnold Ebiketie,OLB
62,46823_ATL,19,11,46823,ATL,Mike Ford,CB
63,42553_NO,4,1,42553,NO,Christian Ringo,DT
64,46197_NO,30,14,46197,NO,Kentavius Street,DT
65,53457_NO,15,6,53457,NO,Payton Turner,DE
66,52272_ATL,23,11,52272,ATL,Dee Alford,CB
67,39908_ATL,7,5,39908,ATL,Erik Harris,FS
68,42901_ATL,27,10,42901,ATL,Dean Marlowe,SS
69,48013_ATL,2,1,48013,ATL,Quinton Bell,OLB
70,53537_ATL,29,12,53537,ATL,Darren Hall,CB
71,42368_CAR,135,45,42368,CAR,Shaq Thompson,ILB
72,43441_CAR,67,23,43441,CAR,Matt Ioannidis,DT
73,43797_CAR,60,28,43797,CAR,Cory Littleton,OLB
74,45004_CAR,80,41,45004,CAR,Xavier Woods,FS
75,46124_CAR,46,19,46124,CAR,Donte Jackson,CB
76,47799_CAR,67,25,47799,CAR,Brian Burns,OLB
77,52417_CAR,47,24,52417,CAR,C.J. Henderson,CB
78,52446_CAR,60,26,52446,CAR,Yetur Gross-Matos,OLB
79,52472_CAR,31,13,52472,CAR,Jeremy Chinn,FS
80,52592_CAR,23,8,52592,CAR,Bravvion Roy,DT
81,52852_CAR,89,34,52852,CAR,Myles Hartsfield,FS
82,42436_CAR,26,5,42436,CAR,Henry Anderson,DE
83,42470_CAR,59,18,42470,CAR,Damien Wilson,MLB
84,46527_CAR,97,35,46527,CAR,Frankie Luvu,ILB
85,53437_CAR,49,22,53437,CAR,Jaycee Horn,CB
86,53661_CAR,9,3,53661,CAR,Phil Hoskins,DT
87,52415_CAR,88,28,52415,CAR,Derrick Brown,DE
88,46205_CAR,37,16,46205,CAR,Marquis Haynes,OLB
89,41227_CLE,18,5,41227,CLE,Jadeveon Clowney,DE
90,44903_CLE,73,38,44903,CLE,John Johnson,FS
91,44974_CLE,25,9,44974,CLE,Anthony Walker,MLB
92,46073_CLE,31,14,46073,CLE,Denzel Ward,CB
