,index,game,Player_ID,Team,Opportunities,Contains,Player_Name,Position
0,38577_LA,2022090800,38577,LA,10,2,Bobby Wagner,ILB
1,41239_LA,2022090800,41239,LA,6,2,Aaron Donald,DT
2,42816_LA,2022090800,42816,LA,9,4,Troy Hill,CB
3,43294_LA,2022090800,43294,LA,8,6,Jalen Ramsey,CB
4,43335_LA,2022090800,43335,LA,10,2,A'Shawn Robinson,DT
5,47844_LA,2022090800,47844,LA,12,7,Taylor Rapp,FS
6,47862_LA,2022090800,47862,LA,4,3,David Long,CB
7,47917_LA,2022090800,47917,LA,13,3,Greg Gaines,NT
8,48026_LA,2022090800,48026,LA,15,8,Nick Scott,SS
9,52492_LA,2022090800,52492,LA,6,4,Terrell Lewis,OLB
10,54750_LA,2022090800,54750,LA,0,0,Keir Thomas,OLB
11,40107_BUF,2022090800,40107,BUF,8,4,Micah Hyde,FS
12,40166_BUF,2022090800,40166,BUF,5,2,Jordan Poyer,SS
13,41341_BUF,2022090800,41341,BUF,7,2,DaQuan Jones,DT
14,44976_BUF,2022090800,44976,BUF,14,8,Matt Milano,OLB
15,46085_BUF,2022090800,46085,BUF,21,7,Tremaine Edmunds,ILB
16,46190_BUF,2022090800,46190,BUF,19,8,Taron Johnson,CB
17,47792_BUF,2022090800,47792,BUF,4,2,Ed Oliver,DT
18,52462_BUF,2022090800,52462,BUF,2,0,A.J. Epenesa,DE
19,52647_BUF,2022090800,52647,BUF,6,2,Dane Jackson,CB
20,53490_BUF,2022090800,53490,BUF,4,2,Carlos Basham,DE
21,54650_BUF,2022090800,54650,BUF,4,3,Christian Benford,CB
22,43298_LA,2022090800,43298,LA,6,3,Leonard Floyd,DE
23,47939_LA,2022090800,47939,LA,6,1,Justin Hollins,OLB
24,48770_LA,2022090800,48770,LA,1,0,Marquise Copeland,DT
25,52846_LA,2022090800,52846,LA,3,3,Jonah Williams,DT
26,53532_LA,2022090800,53532,LA,11,6,Ernest Jones,ILB
27,37075_BUF,2022090800,37075,BUF,3,1,Von Miller,OLB
28,42395_BUF,2022090800,42395,BUF,7,3,Jordan Phillips,DE
29,53459_BUF,2022090800,53459,BUF,7,3,Gregory Rousseau,DE
30,54488_BUF,2022090800,54488,BUF,6,6,Kaiir Elam,CB
31,52607_LA,2022090800,52607,LA,1,1,Jordan Fuller,SS
32,46232_BUF,2022090800,46232,BUF,5,0,Tim Settle,DT
902,37097_NO,2022091100,37097,NO,13,8,Cameron Jordan,DE
903,38607_NO,2022091100,38607,NO,18,9,Demario Davis,MLB
904,40017_NO,2022091100,40017,NO,12,8,Tyrann Mathieu,FS
905,41257_NO,2022091100,41257,NO,9,4,Bradley Roby,CB
906,42421_NO,2022091100,42421,NO,4,1,P.J. Williams,CB
907,43409_NO,2022091100,43409,NO,10,4,David Onyemata,DT
908,44823_NO,2022091100,44823,NO,6,2,Marshon Lattimore,CB
909,44851_NO,2022091100,44851,NO,16,9,Marcus Maye,FS
910,44862_NO,2022091100,44862,NO,9,5,Justin Evans,SS
911,46083_NO,2022091100,46083,NO,8,2,Marcus Davenport,DE
912,48027_NO,2022091100,48027,NO,11,9,Kaden Elliss,OLB
913,48544_NO,2022091100,48544,NO,7,4,Shy Tuttle,DT
914,53489_NO,2022091100,53489,NO,23,16,Pete Werner,OLB
