,index,Opportunities,Contains,Player_ID,Team,Player_Name,Position
0,38577_LA,100,53,38577,LA,Bobby Wagner,ILB
1,41239_LA,47,22,41239,LA,Aaron Donald,DT
2,42816_LA,22,6,42816,LA,Troy Hill,CB
3,43294_LA,42,21,43294,LA,Jalen Ramsey,CB
4,43335_LA,62,18,43335,LA,A'Shawn Robinson,DT
5,47844_LA,65,28,47844,LA,Taylor Rapp,FS
6,47862_LA,18,11,47862,LA,David Long,CB
7,47917_LA,53,13,47917,LA,Greg Gaines,NT
8,48026_LA,81,35,48026,LA,Nick Scott,SS
9,52492_LA,25,16,52492,LA,Terrell Lewis,OLB
10,54750_LA,1,0,54750,LA,Keir Thomas,OLB
11,40107_BUF,10,2,40107,BUF,Micah Hyde,FS
12,40166_BUF,33,14,40166,BUF,Jordan Poyer,SS
13,41341_BUF,46,12,41341,BUF,DaQuan Jones,DT
14,44976_BUF,76,28,44976,BUF,Matt Milano,OLB
15,46085_BUF,94,47,46085,BUF,Tremaine Edmunds,ILB
16,46190_BUF,75,29,46190,BUF,Taron Johnson,CB
17,47792_BUF,21,6,47792,BUF,Ed Oliver,DT
18,52462_BUF,16,5,52462,BUF,A.J. Epenesa,DE
19,52647_BUF,40,16,52647,BUF,Dane Jackson,CB
20,53490_BUF,21,9,53490,BUF,Carlos Basham,DE
21,54650_BUF,14,7,54650,BUF,Christian Benford,CB
22,43298_LA,64,28,43298,LA,Leonard Floyd,DE
23,47939_LA,40,17,47939,LA,Justin Hollins,OLB
24,48770_LA,31,15,48770,LA,Marquise Copeland,DT
25,52846_LA,8,3,52846,LA,Jonah Williams,DT
26,53532_LA,97,48,53532,LA,Ernest Jones,ILB
27,37075_BUF,26,5,37075,BUF,Von Miller,OLB
28,42395_BUF,23,11,42395,BUF,Jordan Phillips,DE
29,53459_BUF,28,13,53459,BUF,Gregory Rousseau,DE
30,54488_BUF,45,19,54488,BUF,Kaiir Elam,CB
31,52607_LA,20,10,52607,LA,Jordan Fuller,SS
32,46232_BUF,24,6,46232,BUF,Tim Settle,DT
33,37097_NO,57,20,37097,NO,Cameron Jordan,DE
34,38607_NO,91,41,38607,NO,Demario Davis,MLB
35,40017_NO,65,30,40017,NO,Tyrann Mathieu,FS
36,41257_NO,26,8,41257,NO,Bradley Roby,CB
37,42421_NO,17,9,42421,NO,P.J. Williams,CB
38,43409_NO,36,15,43409,NO,David Onyemata,DT
39,44823_NO,22,11,44823,NO,Marshon Lattimore,CB
40,44851_NO,57,29,44851,NO,Marcus Maye,FS
41,44862_NO,33,16,44862,NO,Justin Evans,SS
42,46083_NO,39,20,46083,NO,Marcus Davenport,DE
43,48027_NO,35,19,48027,NO,Kaden Elliss,OLB
44,48544_NO,58,21,48544,NO,Shy Tuttle,DT
45,53489_NO,124,50,53489,NO,Pete Werner,OLB
46,46378_NO,1,0,46378,NO,J.T. Gray,SS
47,48537_NO,32,14,48537,NO,Carl Granderson,DE
48,38592_ATL,27,8,38592,ATL,Casey Hayward,CB
49,46091_ATL,165,82,46091,ATL,Rashaan Evans,ILB
50,46135_ATL,61,27,46135,ATL,Lorenzo Carter,OLB
51,46841_ATL,7,4,46841,ATL,Matt Dickerson,DT
52,48520_ATL,19,5,48520,ATL,Anthony Rush,DT
53,52424_ATL,52,18,52424,ATL,A.J. Terrell,CB
54,52527_ATL,121,55,52527,ATL,Mykal Walker,ILB
55,52542_ATL,88,41,52542,ATL,Jaylinn Hawkins,FS
56,53469_ATL,108,42,53469,ATL,Richie Grant,SS
57,53611_ATL,41,16,53611,ATL,Adetokunbo Ogundeji,OLB
58,55173_ATL,25,12,55173,ATL,Timmy Horne,DT
59,42480_ATL,70,23,42480,ATL,Grady Jarrett,DT
60,53577_ATL,66,21,53577,ATL,Ta'Quon Graham,DE
