,index,Opportunities,Contains,Player_ID,Team,Player_Name,Position
0,38577_LA,117,66,38577,LA,Bobby Wagner,ILB
1,41239_LA,66,28,41239,LA,Aaron Donald,DT
2,42816_LA,25,9,42816,LA,Troy Hill,CB
3,43294_LA,46,27,43294,LA,Jalen Ramsey,CB
4,43335_LA,72,27,43335,LA,A'Shawn Robinson,DT
5,47844_LA,66,33,47844,LA,Taylor Rapp,FS
6,47862_LA,20,12,47862,LA,David Long,CB
7,47917_LA,79,15,47917,LA,Greg Gaines,NT
8,48026_LA,88,42,48026,LA,Nick Scott,SS
9,52492_LA,30,20,52492,LA,Terrell Lewis,OLB
10,54750_LA,1,0,54750,LA,Keir Thomas,OLB
11,40107_BUF,11,4,40107,BUF,Micah Hyde,FS
12,40166_BUF,36,18,40166,BUF,Jordan Poyer,SS
13,41341_BUF,56,16,41341,BUF,DaQuan Jones,DT
14,44976_BUF,92,41,44976,BUF,Matt Milano,OLB
15,46085_BUF,110,59,46085,BUF,Tremaine Edmunds,ILB
16,46190_BUF,79,38,46190,BUF,Taron Johnson,CB
17,47792_BUF,26,9,47792,BUF,Ed Oliver,DT
18,52462_BUF,15,5,52462,BUF,A.J. Epenesa,DE
19,52647_BUF,41,18,52647,BUF,Dane Jackson,CB
20,53490_BUF,24,10,53490,BUF,Carlos Basham,DE
21,54650_BUF,18,12,54650,BUF,Christian Benford,CB
22,43298_LA,71,32,43298,LA,Leonard Floyd,DE
23,47939_LA,43,20,47939,LA,Justin Hollins,OLB
24,48770_LA,39,17,48770,LA,Marquise Copeland,DT
25,52846_LA,9,3,52846,LA,Jonah Williams,DT
26,53532_LA,107,58,53532,LA,Ernest Jones,ILB
27,37075_BUF,32,9,37075,BUF,Von Miller,OLB
28,42395_BUF,26,13,42395,BUF,Jordan Phillips,DE
29,53459_BUF,29,15,53459,BUF,Gregory Rousseau,DE
30,54488_BUF,45,22,54488,BUF,Kaiir Elam,CB
31,52607_LA,22,11,52607,LA,Jordan Fuller,SS
32,46232_BUF,32,9,46232,BUF,Tim Settle,DT
33,37097_NO,66,29,37097,NO,Cameron Jordan,DE
34,38607_NO,106,50,38607,NO,Demario Davis,MLB
35,40017_NO,70,41,40017,NO,Tyrann Mathieu,FS
36,41257_NO,30,14,41257,NO,Bradley Roby,CB
37,42421_NO,18,10,42421,NO,P.J. Williams,CB
38,43409_NO,50,20,43409,NO,David Onyemata,DT
39,44823_NO,25,13,44823,NO,Marshon Lattimore,CB
40,44851_NO,63,35,44851,NO,Marcus Maye,FS
41,44862_NO,34,16,44862,NO,Justin Evans,SS
42,46083_NO,48,22,46083,NO,Marcus Davenport,DE
43,48027_NO,39,21,48027,NO,Kaden Elliss,OLB
44,48544_NO,74,25,48544,NO,Shy Tuttle,DT
45,53489_NO,131,59,53489,NO,Pete Werner,OLB
46,46378_NO,1,0,46378,NO,J.T. Gray,SS
47,48537_NO,33,15,48537,NO,Carl Granderson,DE
48,38592_ATL,27,8,38592,ATL,Casey Hayward,CB
49,46091_ATL,178,98,46091,ATL,Rashaan Evans,ILB
50,46135_ATL,73,32,46135,ATL,Lorenzo Carter,OLB
51,46841_ATL,8,4,46841,ATL,Matt Dickerson,DT
52,48520_ATL,23,7,48520,ATL,Anthony Rush,DT
53,52424_ATL,57,23,52424,ATL,A.J. Terrell,CB
54,52527_ATL,128,61,52527,ATL,Mykal Walker,ILB
55,52542_ATL,91,52,52542,ATL,Jaylinn Hawkins,FS
56,53469_ATL,112,57,53469,ATL,Richie Grant,SS
57,53611_ATL,48,22,53611,ATL,Adetokunbo Ogundeji,OLB
58,55173_ATL,34,15,55173,ATL,Timmy Horne,DT
59,42480_ATL,88,28,42480,ATL,Grady Jarrett,DT
60,53577_ATL,76,24,53577,ATL,Ta'Quon Graham,DE
61,54503_ATL,48,28,54503,ATL,Arnold Ebiketie,OLB
62,46823_ATL,19,11,46823,ATL,Mike Ford,CB
63,42553_NO,6,1,42553,NO,Christian Ringo,DT
64,46197_NO,32,16,46197,NO,Kentavius Street,DT
65,53457_NO,15,6,53457,NO,Payton Turner,DE
66,52272_ATL,22,11,52272,ATL,Dee Alford,CB
67,39908_ATL,5,3,39908,ATL,Erik Harris,FS
68,42901_ATL,26,9,42901,ATL,Dean Marlowe,SS
