,index,Opportunities,Contains,Player_ID,Team,Player_Name,Position
0,38577_LA,143,81,38577,LA,Bobby Wagner,ILB
1,41239_LA,90,36,41239,LA,Aaron Donald,DT
2,42816_LA,27,12,42816,LA,Troy Hill,CB
3,43294_LA,56,37,43294,LA,Jalen Ramsey,CB
4,43335_LA,94,33,43335,LA,A'Shawn Robinson,DT
5,47844_LA,75,45,47844,LA,Taylor Rapp,FS
6,47862_LA,22,13,47862,LA,David Long,CB
7,47917_LA,132,20,47917,LA,Greg Gaines,NT
8,48026_LA,108,59,48026,LA,Nick Scott,SS
9,52492_LA,35,22,52492,LA,Terrell Lewis,OLB
10,54750_LA,1,0,54750,LA,Keir Thomas,OLB
11,40107_BUF,12,5,40107,BUF,Micah Hyde,FS
12,40166_BUF,42,26,40166,BUF,Jordan Poyer,SS
13,41341_BUF,80,23,41341,BUF,DaQuan Jones,DT
14,44976_BUF,104,52,44976,BUF,Matt Milano,OLB
15,46085_BUF,133,84,46085,BUF,Tremaine Edmunds,ILB
16,46190_BUF,98,53,46190,BUF,Taron Johnson,CB
17,47792_BUF,31,10,47792,BUF,Ed Oliver,DT
18,52462_BUF,23,8,52462,BUF,A.J. Epenesa,DE
19,52647_BUF,49,24,52647,BUF,Dane Jackson,CB
20,53490_BUF,34,15,53490,BUF,Carlos Basham,DE
21,54650_BUF,20,13,54650,BUF,Christian Benford,CB
22,43298_LA,80,43,43298,LA,Leonard Floyd,DE
23,47939_LA,48,21,47939,LA,Justin Hollins,OLB
24,48770_LA,56,19,48770,LA,Marquise Copeland,DT
25,52846_LA,9,5,52846,LA,Jonah Williams,DT
26,53532_LA,132,82,53532,LA,Ernest Jones,ILB
27,37075_BUF,41,16,37075,BUF,Von Miller,OLB
28,42395_BUF,40,15,42395,BUF,Jordan Phillips,DE
29,53459_BUF,43,22,53459,BUF,Gregory Rousseau,DE
30,54488_BUF,56,37,54488,BUF,Kaiir Elam,CB
31,52607_LA,22,11,52607,LA,Jordan Fuller,SS
32,46232_BUF,54,11,46232,BUF,Tim Settle,DT
33,37097_NO,78,37,37097,NO,Cameron Jordan,DE
34,38607_NO,125,63,38607,NO,Demario Davis,MLB
35,40017_NO,88,54,40017,NO,Tyrann Mathieu,FS
36,41257_NO,32,16,41257,NO,Bradley Roby,CB
37,42421_NO,21,13,42421,NO,P.J. Williams,CB
38,43409_NO,64,24,43409,NO,David Onyemata,DT
39,44823_NO,32,19,44823,NO,Marshon Lattimore,CB
40,44851_NO,69,45,44851,NO,Marcus Maye,FS
41,44862_NO,40,22,44862,NO,Justin Evans,SS
42,46083_NO,57,28,46083,NO,Marcus Davenport,DE
43,48027_NO,43,28,48027,NO,Kaden Elliss,OLB
44,48544_NO,132,39,48544,NO,Shy Tuttle,DT
45,53489_NO,154,82,53489,NO,Pete Werner,OLB
46,46378_NO,2,2,46378,NO,J.T. Gray,SS
47,48537_NO,41,18,48537,NO,Carl Granderson,DE
